Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",147.800000,-101.950000,-90.000000,top
"C2","1u","C_0805_2012Metric",144.210000,-101.740000,-90.000000,top
"IC1","HV2607T-C_R8X","QFP50P900X900X160-48N",149.350000,-94.362000,0.000000,top
"J1","Conn_Coaxial","RS_526-5785",149.100000,-114.445000,-90.000000,top
"J2","Conn_Coaxial","RS_526-5785",131.420000,-114.360000,-90.000000,top
"J4","Conn_01x16_Pin","PinHeader_2x08_P2.54mm_Vertical",142.400000,-81.550000,90.000000,top
"J5","Conn_01x12_Pin","PinHeader_2x06_P2.54mm_Vertical",157.490000,-109.550000,90.000000,top
"JP1","Jumper_2_Open","PinHeader_2x01_P2.54mm_Vertical",162.980000,-97.700000,0.000000,top
"R1","10K","R_0603_1608Metric",171.070000,-97.820000,0.000000,top
"R2","10K","R_0603_1608Metric",161.530000,-101.060000,90.000000,top
"R3","10K","R_0603_1608Metric",164.700000,-101.165000,90.000000,top
"R4","10K","R_0603_1608Metric",167.620000,-101.110000,90.000000,top
"R5","10K","R_0603_1608Metric",170.510000,-101.110000,90.000000,top
